sample,mean_class0,mean_class1
0,970.745,832.171
1,-14.3264,-208.95
2,-724.722,-843.656
3,12.2798,30.7405
4,-389.117,-392.027
5,-240.778,-323.928
6,-168.08,-175.861
7,-142.582,-171.677
8,300.941,430.623
9,339.486,277.006
10,-5.07395,37.3582
11,-501.085,-555.336
12,-51.8481,-53.5397
13,-395.043,-457.35
14,207.137,252.157
15,155.63,138.46
16,1393.16,1373.42
17,1105.06,1103.5
18,484.797,518.105
19,-689.546,-654.346
20,-21.9587,-63.7438
21,86.8541,-12.3816
22,492.983,484.889
23,229.692,417.943
24,1264.99,1265.7
25,439.046,365.043
26,224.618,186.535
27,-101.479,-68.2695
28,89.3271,114.679
29,269.431,176.459
30,306.228,331.015
31,2269.34,2553.08
32,4978.36,6173.03
33,3847.89,4947.55
34,563.464,758.522
35,-441.263,-581.508
36,356.712,443.474
37,1903.03,2314.84
38,1987.33,2478.84
39,2608.78,3043.44
40,2346.47,2954.12
41,2023.57,2479.56
42,1124.84,1470.12
43,854.556,1123.82
44,1206.53,1408.56
45,1536.34,1888.36
46,1566.87,1903.56
47,6139.95,7582.66
48,6940.31,9047.78
49,3553.22,5096.05
50,732.653,949.668
51,542.145,536.678
52,2394.95,2865.23
53,3346.04,4460.4
54,3398.74,4378.43
55,3789.56,4714.1
56,3612.78,4565.52
57,2664.46,3509.37
58,1782.07,2489.77
59,1876.68,2442.16
60,2341.99,2952.33
61,2472.68,3180.06
62,3893.98,4834.07
63,7590.2,10928.5
64,7136.96,10724.9
65,3039.81,4532.13
66,1141.08,1438.7
67,1831.23,2296.36
68,3692.3,5118.16
69,4038.95,5807.48
70,4412.5,6024.71
71,4374.04,6170.34
72,3864.69,5583.88
73,2952.44,4298.16
74,2369.24,3459.33
75,2619.57,3691.51
76,2986.13,4172.13
77,2960.42,4183.87
78,5373.95,7534.45
79,6985.59,10022.6
80,5231.24,7897.66
81,2326.77,3627.81
82,1645.11,2411.59
83,2792.21,3845.89
84,3822.6,5569.24
85,3857.48,5704.75
86,4051.66,5758.46
87,4136.63,5839.41
88,3378.01,5025.3
89,2565.8,3882.52
90,2385.27,3568.72
91,2731.24,3902.42
92,2845.76,4154.96
93,3186.01,4436.19
94,7891.19,10414.1
95,8715.26,11598.3
96,4716.73,6653.61
97,1680.54,2747.39
98,1685.79,2533.61
99,3722.02,5047.2
100,4644.07,6320.8
101,4381.97,6042.56
102,5184.13,6727.3
103,4586.08,6190.75
104,3650.81,5063.39
105,2824.61,4024.4
106,2876.16,3925.86
107,3241.83,4448.62
108,3305.57,4554.72
109,4796.5,6067.32
110,7466.43,9559.27
111,6652.29,8632.44
112,3192.41,4509.8
113,1841.72,2791.15
114,2707.19,3558.64
115,4051.61,5254.96
116,4150.88,5534.31
117,4485.88,5790.36
118,4352.85,5555.62
119,3926.13,5099.46
120,3020.41,4148.22
121,2606.56,3510.35
122,2866.78,3718.96
123,3086.8,4048.05
124,3018.06,4021.33
125,5799.65,6810.43
126,6938.39,8134.62
127,4865.92,5933.47
128,2264.94,3129.34
129,1788.55,2538.57
130,3028.81,3725.75
131,3909.71,4661.75
132,3813.86,4614.15
133,3976.1,4901.1
134,4051.49,4856.96
135,3323.82,4021.84
136,2510.92,3112.69
137,2422.79,3014.11
138,2648.13,3312.93
139,2788.8,3418.04
140,3557.27,4029.44
141,5817.77,6653.95
142,6041.67,6971.9
143,3264.17,3871.47
144,1652.53,2097.53
145,1892.2,2306.26
146,3172.41,3660.21
147,3467.34,3965.14
148,3331.92,3960.91
149,3992.86,4585.29
150,3383.3,3797.86
151,2549.81,3043.35
152,2060.28,2498.31
153,2207.17,2551.29
154,2507.73,2783.38
155,2434.47,2835.51
156,4313.41,4768.58
157,6481.52,7248.27
158,5186.39,5907.47
159,2101.72,2537.71
160,1242.39,1480.11
161,2109.23,2350.41
162,3300.67,3683.31
163,3281.69,3725.83
164,3721.59,4133.14
165,3550.19,4011.85
166,3033.54,3391.57
167,2239.96,2507.44
168,1907.81,2215.79
169,2189.94,2462.14
170,2417.8,2681.77
171,2417.5,2605.81
172,5147.84,5678.24
173,5732.97,6339.24
174,3406.8,4017.18
175,1487.22,1693.89
176,1289.42,1331.06
177,2427.22,2628.27
178,2993.29,3377.87
179,3039.38,3346.91
180,3338.96,3621.36
181,3181.84,3418.64
182,2323.14,2572.21
183,1690.35,1957.19
184,1753.07,1908
185,2037.64,2163.45
186,2138.69,2247.43
187,2921.87,3172.55
188,5339.84,5912.72
189,5124.01,5708.38
190,2308.82,2601.67
191,949.98,974.815
192,1330.57,1414.92
193,2573.99,2873.08
194,2789.82,3066.96
195,3146.87,3261.22
196,3113.02,3389.27
197,2643.1,2860.53
198,1875.61,2027.76
199,1516.34,1637.66
200,1661.7,1830.6
201,1887.04,2032.33
202,1862.57,1893.74
203,3910.18,4227.33
204,5235.81,5693.78
205,3655.21,4128.62
206,1300.21,1418.37
207,781.09,755.362
208,1654.49,1725.78
209,2479.88,2763.1
210,2591.3,2765.36
211,2779.33,2876.11
212,2854.93,3003.09
213,2084.75,2357.71
214,1410.3,1547.74
215,1264.82,1272.02
216,1544.06,1568.32
217,1700.88,1786.28
218,1923.37,1990.02
219,4774.76,5173.07
220,5241.86,5676.53
221,2614.19,2812.63
222,708.946,727.141
223,654.497,634.279
224,1982.17,2113.28
225,2585.2,2672.16
226,2316.24,2466.46
227,3080.4,3181.51
228,2472.25,2639.71
229,1820.65,1836.7
230,1243.03,1234.32
231,1218.9,1254.94
232,1511.31,1551.84
233,1596.38,1599.62
234,2685.78,2759.73
235,4568.69,4992.3
236,3946.77,4217.21
237,1435.42,1509.44
238,413.804,376.785
239,1018.8,985.831
240,2060.11,2129.85
241,2103.6,2237.01
242,2440.7,2562.65
243,2331.93,2362.19
244,1899.28,2047.23
245,1230.58,1279.36
246,917.618,815.861
247,1129.49,1062.47
248,1274.33,1295.84
249,1247.51,1254.47
250,3719.63,3886.45
251,4629.36,4982.74
252,2789.31,2986.99
253,675.731,627.277
254,279.75,153.873
255,1275.65,1217.88
256,2014.02,2075.58
257,2001.14,2095.18
258,2233.05,2330.47
259,2228.66,2317.79
260,1534.81,1558.8
261,889.732,830.719
262,811.576,716.339
263,1019.18,1079.89
264,1144.03,1137.48
265,1909.64,1703.36
266,3769.73,4008.56
267,3874.41,4346.49
268,1470.72,1628.56
269,199.632,-5.12342
270,419.987,238.58
271,1473.54,1452.62
272,1663.7,1735.22
273,1666.39,1723.13
274,2334.15,2436.82
275,1668.43,1676.08
276,944.181,941.086
277,574.806,451.33
278,631.43,572.243
279,992.959,802.711
280,897.151,851.042
281,2642.72,2665.16
282,4679.72,5031.02
283,3500.47,3792.74
284,697.007,605.673
285,-223.126,-370.551
286,635.608,483.053
287,1806.07,1773.26
288,1727.62,1764.63
289,2200.13,2243.33
290,2091.19,2070.63
291,1593.82,1511.02
292,783.051,706.903
293,465.865,423.322
294,783.861,696.699
295,987.075,863.424
296,1022.98,857.276
297,3228.48,3409.16
298,3582.08,3943.45
299,1703.82,1943.4
300,225.769,39.493
301,0.682212,-269.876
302,895.147,837.209
303,1375.25,1391.39
304,1409.19,1371.75
305,1770.85,1721.77
306,1536.47,1575.62
307,784.799,736.235
308,252.802,129.025
309,343.664,160.576
310,594.505,409.617
311,571.011,489.158
312,1382.8,1340.97
313,3342.16,3579.47
314,3077.12,3373.6
315,701.101,718.089
316,-357.905,-626.722
317,10.02,-230.895
318,987.246,925.801
319,1035.85,1163.83
320,1541.12,1424.95
321,1519.24,1435.54
322,981.404,925.374
323,347.502,254.079
324,37.4364,-41.4997
325,215.408,67.1167
326,397.9,237.47
327,362.937,156.435
328,2012.31,2132.32
329,3060.36,3240.9
330,1762.96,1962.91
331,-116.744,-256.939
332,-574.636,-821.497
333,203.512,-12.8512
334,799.595,802.156
335,844.024,811.976
336,1132.6,989.673
337,1137.89,1133.21
338,478.444,460.083
339,-106.425,-274.359
340,-199.121,-412.819
341,26.1372,-158.015
342,141.9,-14.9006
343,409.327,259.672
344,2658.2,2825.39
345,2915.26,3218.15
346,785.951,772.611
347,-681.572,-931.779
348,-706.473,-956.499
349,356.328,278.543
350,778.745,731.752
351,617.999,483.949
352,1362.25,1249.64
353,741.053,722.743
354,157.165,-5.03803
355,-283.587,-541.502
356,-294.374,-412.307
357,-27.2885,-172.232
358,15.9467,-240.544
359,965.543,784.865
360,2298.71,2648.64
361,1737.64,1958.08
362,-168.208,-381.31
363,-953.519,-1210.54
364,-440.368,-639.274
365,284.482,191.488
366,348.397,242.167
367,728.645,668.093
368,550.843,479.851
369,180.914,164.803
370,-332.365,-564.259
371,-578.985,-899.885
372,-419.304,-665.788
373,-311.941,-441.211
374,-313.903,-459.997
375,1635.6,1626.34
376,2199.96,2437.12
377,739.603,760.699
378,-874.169,-1070.49
379,-1103.48,-1415.94
380,-280.432,-517.977
381,203.427,61.3956
382,149.149,117.284
383,411.459,329.521
384,489.828,307.405
385,-196.136,-328.582
386,-796.099,-919.013
387,-742.161,-953.553
388,-541.207,-798.057
389,-479.211,-710.191
390,237.879,-22.8419
391,1389.62,1631.3
392,1581.03,1843.92
393,-275.699,-363.464
394,-1278.29,-1596.93
395,-1068.98,-1362.32
396,-248.41,-480.363
397,-137.977,-253.993
398,-104.421,-179.405
399,497.034,482.241
400,-132.989,-219.239
401,-690.015,-913.249
402,-964.946,-1313.9
403,-899.07,-1178.43
404,-720.032,-916.921
405,-728.005,-903.771
406,740.839,540.264
407,2119.46,2308.44
408,1022.25,1307.88
409,-1008.05,-1241.45
410,-1546.74,-1940.32
411,-870.46,-1197.98
412,-140.834,-201.478
413,-191.403,-281.062
414,332.877,138.716
415,192.81,47.5624
416,-257.023,-444.243
417,-941.111,-1122.63
418,-1124.11,-1353.31
419,-852.083,-1083.35
420,-648.613,-968.112
421,-665.455,-973.577
422,1165.73,1280.68
423,1444.2,1752.08
424,-124.504,-69.2515
425,-1341.44,-1704.82
426,-1490.25,-1903.52
427,-695.941,-921.702
428,-356.029,-459.784
429,-300.216,-519.045
430,-9.97735,-36.2482
431,-132.434,-239.221
432,-830.721,-1057.56
433,-1306.27,-1566.74
434,-1221.29,-1456.93
435,-951.43,-1262.88
436,-922.692,-1181.84
437,-202.915,-439.461
438,1217.71,1358.43
439,1049.75,1201.83
440,-933.777,-1037.58
441,-1765.95,-2146.54
442,-1423.99,-1837.73
443,-629.042,-782.388
444,-560.096,-636.371
445,-130.771,-361.201
446,-101.351,-373.54
447,-606.188,-779.143
448,-1177.88,-1360.78
449,-1455.63,-1621.52
450,-1260.56,-1569.05
451,-1046.81,-1391.35
452,-1052.44,-1417.65
453,289.684,388.27
454,1106.97,1353.05
455,50.8674,124.499
456,-1485.22,-1818.64
457,-1940,-2322.83
458,-1331.12,-1584.12
459,-696.027,-830.164
460,-616.037,-796.905
461,-433.716,-645.166
462,-415.723,-446.548
463,-970.617,-1147.99
464,-1486.8,-1819.41
465,-1565.63,-1908.26
466,-1362.08,-1625.02
467,-1221.88,-1441.6
468,-929.428,-1231.8
469,793.412,836.056
470,1011.12,1199.18
471,-881.034,-904.838
472,-1951,-2320.52
473,-1895.57,-2320.4
474,-1063.91,-1241.19
475,-822.79,-852.835
476,-868.498,-1148.54
477,-104.933,-389.807
478,-727.025,-863.808
479,-1344.38,-1478.19
480,-1655.52,-1941.09
481,-1553.27,-1916.67
482,-1399.69,-1678.22
483,-1349.12,-1679.33
484,-628.019,-769.025
485,433.716,720.737
486,-68.477,36.8886
487,-1580.17,-1855.06
488,-2185.89,-2485.62
489,-1715.04,-2061.45
490,-1171.78,-1396.77
491,-1108.76,-1360.82
492,-776.229,-858.556
493,-948.019,-1008.42
494,-1229.6,-1430.41
495,-1671.21,-2053.21
496,-1871.99,-2265.32
497,-1809.87,-2020.38
498,-1627.71,-1883.88
499,-1583.84,-1918.16
500,-156.013,-244.387
501,146.974,384.982
502,-976.33,-1044.58
503,-2107.91,-2444.55
504,-2245.76,-2703.84
505,-1686.04,-1935.28
506,-1328.18,-1555.34
507,-1362.46,-1560.59
508,-1101.6,-1201.53
509,-1044,-1217.2
510,-1621.06,-1875.51
511,-2087.7,-2382.09
512,-2058.06,-2350.67
513,-1869.56,-2205.89
514,-1812.25,-2135.74
515,-1140.87,-1505.13
516,-586.063,-324.056
517,-374.79,-190.975
518,-1736.53,-1954.67
519,-2424.71,-2833.42
520,-2308.95,-2689.54
521,-1686.94,-1980.76
522,-1614.62,-1846.18
523,-1636.41,-1700.21
524,-972.919,-1086.16
525,-1570.03,-1807.46
526,-2036.66,-2350.03
527,-2274.96,-2655.34
528,-2212.03,-2566.49
529,-1990.1,-2312.28
530,-2011.2,-2312.67
531,-906.958,-1100.38
532,127.147,329.137
533,-800.149,-614.596
534,-2305.92,-2599.79
535,-2672.69,-3121.44
536,-2150.67,-2527.77
537,-1590.58,-1808.61
538,-1691.84,-1856.56
539,-1125.48,-1344.85
540,-1277.4,-1456.89
541,-1658.12,-1959.45
542,-2257.61,-2472.18
543,-2347.15,-2656.45
544,-2098.31,-2500.78
545,-1946.18,-2354.94
546,-1970.48,-2237.48
547,-573.74,-365.129
548,-347.288,-159.722
549,-1586.31,-1615.37
550,-2514.12,-2862.11
551,-2678.24,-3111.11
552,-1972.91,-2353.4
553,-1715.08,-1878.29
554,-1716.23,-1900.36
555,-1368.64,-1478.45
556,-1454.18,-1668.27
557,-2102.45,-2357.41
558,-2525.12,-2830.3
559,-2404.41,-2682.83
560,-2174.68,-2455.7
561,-2124.71,-2473.84
562,-1161.17,-1380.89
563,1599.57,4512.36
564,1445.22,4839.15
565,-1497.46,-428.873
566,-2930.91,-3637.54
567,-2536.25,-3120.12
568,-1231.86,-503.973
569,-902.481,365.983
570,-451.923,614.169
571,-377.178,737.003
572,-898.899,264.753
573,-1667.75,-808.432
574,-2087.23,-1620.49
575,-1768.93,-1490.36
576,-1489.82,-995.565
577,-1617.99,-949.668
578,2493.87,8954.96
579,5524.25,16894
580,2895.26,11068.7
581,-1853.7,-758.394
582,-2866.27,-3618.71
583,-1057.77,591.328
584,805.991,5531.07
585,904.314,5967.07
586,1189.73,6008.4
587,1299.14,6262.95
588,357.607,4802.73
589,-720.544,2235.43
590,-1064.42,1345.02
591,-566.023,2316.13
592,-244.019,3083.27
593,-16.4157,3704.96
594,3570.87,19268.6
595,4799.79,22974.9
596,1743.18,11060
597,-1333.08,413.161
598,-1677.69,-175.52
599,109.026,6183.88
600,1092.31,9989.29
601,903.291,9459.62
602,1667.28,10055.8
603,1060.88,9493.13
604,246.662,7330.33
605,-587.512,4673.75
606,-617.402,4318.36
607,-221.634,5570.86
608,-102.033,5956.01
609,7197.68,12371.3
610,23130.9,28508.4
611,20001.3,25673.1
612,3220.55,8497.91
613,-3331.75,1247
614,129.237,4304.4
615,7672.84,11953.7
616,9322.51,13628.8
617,9325.84,13361.8
618,9322.81,13276.3
619,8341.19,12232.5
620,5344.83,8913.8
621,3335.33,6547.73
622,4161.96,7351.16
623,5382.23,8544.15
624,5359.07,8348.14
625,19159.9,21542.7
626,26249.6,29364.8
627,16990.4,20418.3
628,3708.72,6388
629,1204.36,3462.49
630,6897.63,9035.91
631,12048.8,14360.9
632,12025.4,14319.6
633,11959,14139.3
634,12010.3,14116.9
635,9989.67,12085.8
636,6942.1,8751.56
637,6079.15,7708.82
638,7228.63,8756.26
639,7843.9,9379.1
640,10275.9,11548.7
641,29222.5,29505.3
642,30138.5,30317.2
643,13827.9,14823.7
644,3358.1,4672.77
645,4412.93,5465.19
646,12512.2,12954.7
647,15524.6,15849.9
648,14740,15266.1
649,15464.4,15795
650,14456,14611.6
651,11333.7,11625.1
652,8394.96,8809.5
653,8544.15,8807.19
654,9901.75,9965.68
655,9953.13,10024.8
656,18217.6,17662.8
657,29767.8,29689.3
658,24808.8,25100.6
659,9882.18,9989.81
660,4869.71,4741.17
661,8496.22,8237.73
662,14675.2,14399.7
663,15315.2,15102.6
664,15281.2,14931.7
665,14972.2,14742.6
666,13616.9,13294.8
667,10478.6,10137.9
668,8691.51,8331.53
669,9421.56,9000.43
670,10296.7,9802.8
671,10152.2,9616.27
672,27567.3,26073.7
673,32180.9,31490.3
674,20488.6,20185.5
675,6843.05,6488.17
676,5135.69,4531.06
677,12146.6,11020.3
678,16993.5,16010.3
679,16669.9,15684.3
680,16611.6,15617
681,16282.2,15290
682,13633.4,12711.6
683,10181.1,9368.98
684,9514.3,8622.11
685,10758.6,9728.34
686,11223,10165.2
687,15014.4,13547.8
688,29645.3,28793.9
689,28660.7,28364.7
690,13826.1,13333.5
691,5969.06,5031.15
692,7666.1,6526.21
693,14369.7,13271.9
694,16196.8,15240.7
695,15842.5,14844.1
696,15743.3,14846.3
697,14655.3,13720.9
698,11676.9,10764.1
699,9297.35,8386.86
700,9577.57,8546.58
701,10600.2,9453.43
702,10375.8,9294.9
703,22635.9,20847.3
704,31927.5,30811.2
705,24978.3,23783.4
706,8963.24,8102.68
707,4854.19,3915.06
708,10174.5,8747.12
709,16415.4,14900.1
710,16617.4,15201.7
711,16355.8,14906.4
712,16382.9,14958.8
713,14290.3,12920.2
714,10751.7,9415.94
715,9267.38,7950.94
716,10285.2,8856.34
717,10980.4,9516.66
718,11431.3,9922.09
719,26959.7,26061
720,29775.3,29240.9
721,17167.8,16378.7
722,6695.44,5392.57
723,6144.77,4662.78
724,12329.4,11006
725,15633.9,14563.2
726,14941.1,13871.5
727,15416.1,14261.4
728,14432.4,13487.8
729,11976.1,10892.9
730,9205,7999.06
731,8795.2,7509.18
732,9685.96,8560.12
733,9861.97,8733.59
734,16351.3,14717.1
735,31659.2,30781.4
736,28512.1,27825.7
737,11687.1,10680.5
738,4407.94,3230.7
739,7396.71,6047.21
740,14756.2,13447
741,16264.8,15093.7
742,15955.1,14710.4
743,15689.3,14422.8
744,14492,13263.4
745,11084.1,9892.21
746,8662.98,7420.46
747,9217.75,7882.76
748,10256.4,8943.52
749,9946.31,8739.27
750,23247.4,21522.7
751,30574.6,29166.3
752,21492.9,20254.4
753,7553.07,6403.93
754,4603.69,3374.11
755,10140,8627.62
756,15206.8,13716.4
757,15025.2,13624.8
758,14762.5,13464.9
759,14709.1,13344.9
760,12490.3,11126.9
761,9190.54,7821.92
762,8145.1,6714.28
763,9054.74,7677.82
764,9490.21,8152.59
765,11620,9980.88
766,29171.3,28025.4
767,29881.6,29309.8
768,14384.9,13504.3
769,4565.32,3255.03
770,5385.55,3820.06
771,12584.8,11089.5
772,15301.2,14034.2
773,14519.4,13406.2
774,15098.3,13932.1
775,13946.5,12668.5
776,10871.9,9670.7
777,8087.28,6791.69
778,8041.23,6682.17
779,9123.18,7756.68
780,9058.54,7843.74
781,16950.6,15349.2
782,27931.9,27684.8
783,22973.1,23044.5
784,8577.79,7749.34
785,3821.58,2376.11
786,7179.43,5751.67
787,12907.6,11889.9
788,13409.3,12572.1
789,13334.6,12460
790,12984.6,12163.8
791,11552.1,10637.7
792,8469.36,7510.84
793,6730.87,5690.15
794,7319.83,6228.66
795,8041.02,6999.23
796,7845.27,6769.7
797,24957.1,23104.2
798,30731.5,29160.1
799,18364.6,17395.1
800,4584.68,3631.05
801,2725.05,1542.83
802,9428.98,7927.38
803,14264.1,12857
804,13960.1,12542.5
805,13889.6,12456
806,13616.2,12129
807,10881.2,9498.73
808,7424.47,6233.02
809,6728.06,5380.48
810,7863.94,6409.48
811,8295.53,6807.44
812,11952.9,10252.1
813,27814.6,26247.6
814,27223.8,25911
815,11384.8,10271.6
816,2945.11,1578.78
817,4530.48,3028.96
818,11549.7,9955.74
819,13576,12072.1
820,13176.8,11606.6
821,13130.8,11639.2
822,12005.1,10491.1
823,8850.12,7434.16
824,6311.53,4939.61
825,6539.85,5130.2
826,7582.15,6070.61
827,7378.93,5815.97
828,19059.2,17196.1
829,28924.4,27702.8
830,21255.5,20553.6
831,5854.23,4613.59
832,1869.56,257.879
833,6771.63,5106.04
834,12585.6,11306
835,12852.2,11531.8
836,12650,11183.2
837,12601.5,11241.1
838,10417.6,9232.52
839,7012.46,5747.83
840,5619.55,4173.62
841,6534.23,5062.36
842,7112.57,5736.09
843,7462.8,6030.35
844,23612.3,22174.3
845,26811.4,25497
846,13711.6,12623.9
847,2789.86,1499.32
848,2197.79,704.47
849,8504.28,7021.6
850,12003.6,10517.8
851,11240.5,9837.43
852,11708.2,10298.9
853,10752.3,9408.04
854,8186.03,6795.74
855,5371.82,3960.83
856,4866.6,3522.56
857,5833.81,4462.88
858,6016.34,4562.27
859,12359.2,10264.2
860,28091,26483.4
861,24990.8,23661.3
862,7708.35,6571.46
863,473.157,-881.74
864,3398.44,1808.22
865,10627,8951.63
866,12090.5,10526.5
867,11797.5,10259.6
868,11582.6,9980.84
869,10229.5,8784.86
870,6872.18,5463.91
871,4553.76,3041.39
872,5063.5,3472.95
873,5969.91,4499.38
874,5649.65,4247.06
875,19105.5,16724.6
876,26759.6,24278.8
877,17432.3,15585.7
878,3360.62,1964.96
879,367.712,-1106.4
880,5791.08,4017.36
881,10884.5,8943.99
882,10726,8887.12
883,10554.5,8714.76
884,10445.4,8567.5
885,8192,6418.23
886,4917.89,3232.41
887,3825.5,2115.84
888,4648.42,3010.52
889,5134.37,3417.1
890,7131.59,5201.46
891,24983.1,22749
892,26052.9,24146.7
893,10176.1,8718.22
894,211.528,-1401.6
895,907.129,-913.548
896,8081.78,6080
897,10830,8934.98
898,10126.7,8387.8
899,10715.2,8926.66
900,9491.57,7593.16
901,6415.95,4768.7
902,3633.08,1923.84
903,3572.91,1781.58
904,4709.52,2839.48
905,4528.18,2918.98
906,12267,10235.4
907,24238.5,22167.6
908,19359.6,17585.9
909,4313.37,2694.19
910,-920.474,-2509.15
911,2589.51,762.834
912,8526.33,6694.38
913,9066.51,7335.36
914,8999.36,7283.53
915,8678.89,6940.39
916,7242.11,5458.74
917,4146.74,2425.6
918,2256.93,617.073
919,2818.05,1183.68
920,3594.87,1874.27
921,3402.7,1601.58
922,19735.1,18580.4
923,25275.3,24841.1
924,13272.4,12618.2
925,88.7302,-1539.29
926,-1779.42,-3640.06
927,4581.95,3018.29
928,9117.89,7954.87
929,8843.51,7677.05
930,8793.03,7663.01
931,8410.99,7335.19
932,5792.62,4670.16
933,2511.95,1255.49
934,1826.62,445.609
935,2886.35,1533.82
936,3195.74,1953.05
937,6919.46,5207.95
938,22651.9,20108.7
939,22028.2,19597.7
940,6297.97,4846.67
941,-2058.4,-3272.45
942,-491.662,-1888.92
943,6382.01,4580.38
944,8367.12,6481.29
945,8080.33,6109.12
946,7980.26,6044.95
947,6777.95,4900.8
948,3767.13,2039.76
949,1268.23,-296.304
950,1457.55,-192.47
951,2455.32,647.813
952,2248.7,417.601
953,13806.6,11779.2
954,23869.7,22112
955,16256.3,14938
956,783.35,-729.916
957,-3325.44,-4990.21
958,1582.22,-245.839
959,7371.98,5777.72
960,7646.78,6100.92
961,7515.37,5843.94
962,7391,5845.48
963,5262.75,3826.42
964,1937.4,416.875
965,502.278,-1143.8
966,1307.93,-303.221
967,1942.17,344.977
968,2320.54,751.733
969,17492.5,16115.6
970,20442,19208.5
971,8146.25,6847.49
972,-2240.98,-3772.03
973,-2959.69,-4507.37
974,3008.98,1479.64
975,6246.16,4832.62
976,5614.65,4223.66
977,6020.65,4599.8
978,5089.34,3732.79
979,2641.52,1241.28
980,-89.7535,-1526.31
981,-569.903,-1960.82
982,286.316,-1120.79
983,432.309,-988.52
984,6733.3,4777.46
985,22975.6,20879.9
986,19889.8,18079.4
987,2443.68,1064.52
988,-4988.12,-6319.86
989,-2139.29,-3677.16
990,5132.02,3475.08
991,6776.03,5094.13
992,6542.62,4829.72
993,6246.37,4513.22
994,4910.05,3383.25
995,1642.64,42.567
996,-759.046,-2414.92
997,-304.096,-1960.73
998,611.987,-888.528
999,351.766,-1115.37
1000,13079.5,10795.7
1001,20109,17785.2
1002,11217.4,9349.34
1003,-2065.06,-3532.81
1004,-4918.88,-6362.04
1005,253.058,-1435.92
1006,5029.35,3193.64
1007,4836.97,3155.81
1008,4675.28,2933.92
1009,4530.48,2750.8
1010,2395.46,675.779
1011,-781.047,-2363.65
1012,-1843.81,-3386.24
1013,-1016.71,-2658.67
1014,-595.272,-2257.93
1015,1409.28,-450.476
1016,18416.9,17499.9
1017,19562.3,18847.9
1018,4272.1,3160.93
1019,-5398.77,-7007.89
1020,-4754.08,-6398.42
1021,2210.32,704.427
1022,4873.08,3593.65
1023,4211.93,3006.76
1024,4723,3590.7
1025,3590.05,2370.43
1026,608.405,-655.199
1027,-2129.18,-3554.5
1028,-2205.25,-3580.07
1029,-1183.08,-2470.47
1030,-1248.92,-2464.7
1031,6679.75,5141.18
1032,18693.6,18182.1
1033,13736.5,13557.9
1034,-1408.9,-2367.96
1035,-6587.31,-7954.83
1036,-3069.61,-4483.24
1037,2905.03,1910.56
1038,3510.02,2698.55
1039,3489.09,2587.58
1040,3192.67,2293.92
1041,1701.22,761.254
1042,-1540.18,-2468.16
1043,-3347.14,-4356.06
1044,-2706.85,-3771.18
1045,-1962.72,-3030.67
1046,-2203.84,-3221.05
1047,14425.8,12959
1048,20120,18869.5
1049,7916.73,7107.59
1050,-5466.65,-6461.27
1051,-7259.5,-8445.05
1052,-856.73,-2114.22
1053,3751.65,2648.08
1054,3511.69,2312.97
1055,3481.37,2313.18
1056,3128.41,1994.2
1057,428.728,-649.734
1058,-2889.64,-3994.9
1059,-3588.52,-4751.11
1060,-2538.68,-3707.09
1061,-2170.54,-3306.1
1062,1389.03,10.7592
1063,17041,15906.5
1064,16510.8,15548.6
1065,896.81,44.3175
1066,-7436.83,-8494.32
1067,-5890.47,-7130
1068,954.883,-259.288
1069,2935.94,1863.43
1070,2630.95,1428.92
1071,2569.08,1397.07
1072,1357.6,290.754
1073,-1668.26,-2758.62
1074,-4126.96,-5169.74
1075,-3969.36,-5069.71
1076,-3025.74,-4173.11
1077,-3140.18,-4394.4
1078,8845.81,7221.45
1079,19195.9,17693.4
1080,11434.5,10297
1081,-4515.65,-5619.96
1082,-8743.27,-9898.01
1083,-3795.95,-4979.58
1084,2392.86,1158.28
1085,2714.69,1451.55
1086,2481.63,1109.26
1087,2376.87,1200.16
1088,286.444,-899.629
1089,-3187.68,-4396.79
1090,-4715.15,-5930.01
1091,-3867.67,-5026.88
1092,-3184.99,-4351.15
1093,-2813.53,-4046.9
1094,12763.9,11759.3
1095,15556.3,15112.6
1096,2862.9,2451.94
1097,-7478.62,-8563.19
1098,-8070.99,-9360.52
1099,-2016.41,-3171.78
1100,1175.45,354.711
1101,601.114,-326.319
1102,1054.36,93.6304
1103,45.7082,-755.747
1104,-2523.71,-3275.66
1105,-5217.47,-6105.66
1106,-5641.85,-6659.76
1107,-4764.35,-5735.45
1108,-4651.92,-5561.25
1109,1495.66,409.147
1110,17291.3,17206.3
1111,14276.1,14278
1112,-2854.84,-3395.46
1113,-10151.2,-11003.4
1114,-7214.43,-8279.4
1115,-98.8354,-832.384
1116,1452.43,869.486
1117,1157.42,634.962
1118,931.56,348.947
1119,-384.128,-923.496
1120,-3702.28,-4328.56
1121,-6006.02,-6835.7
1122,-5571.84,-6348.42
1123,-4645.48,-5263.75
1124,-4891.54,-5502.04
1125,8359.7,6869.09
1126,15760,14400.4
1127,6544.33,5675.51
1128,-7276.51,-7865.68
1129,-10191.9,-10949.5
1130,-4860.89,-5762.52
1131,240.991,-818.85
1132,90.052,-933.017
1133,-170.979,-1119.94
1134,-250.244,-1264.2
1135,-2467.05,-3378.47
1136,-5724.7,-6581.37
1137,-6806.34,-7694.47
1138,-5913.16,-6874.51
1139,-5471.98,-6394.07
1140,-3448.67,-4555.48
1141,13265.5,13173.8
1142,14312.8,14480.2
1143,-833.45,-1070.84
1144,-10345.3,-11240.8
1145,-9652.06,-10705.6
