sample,mean0,mean1,diff_of_means,t_first,t_second
0,340.24226,408.25094,-68.00868,-0.94623936,-1.1582981
1,1341.1575,1292.6876,48.469891,0.73684237,-1.3876525
2,1999.4186,2013.9523,-14.533748,-0.21611295,0.24629634
3,3182.9448,3132.7077,50.237165,0.44623051,0.45656435
4,11460.393,11440.341,20.051722,0.18611641,-0.77698783
5,-9963.3271,-9560.813,-402.514,-1.4419069,-0.39458719
6,-8019.0363,-8352.7629,333.72652,1.362855,0.82006028
7,5610.4657,5563.5834,46.882242,0.60481275,1.2296913
8,3352.8075,3506.4291,-153.62157,-1.4798738,0.028804219
9,-8844.9206,-8880.1807,35.260085,0.25484475,-0.57115772
10,-8618.5518,-8618.8808,0.32898605,0.0029832537,0.17619111
11,-544.04307,-648.51192,104.46885,0.91771384,0.4755742
12,7714.2826,7583.3174,130.9652,1.5823079,0.17156165
13,1305.1521,1557.1995,-252.04741,-1.4323639,0.94087403
14,-6318.5141,-6450.5897,132.07558,1.2055116,0.8336024
15,9128.8291,8993.7265,135.1026,0.80088982,-0.18854376
16,5793.0767,6017.606,-224.52931,-1.1654566,1.1318424
17,-3513.8843,-3563.1217,49.237453,0.67577277,-0.33183471
18,-3340.9206,-3273.877,-67.043553,-0.74498769,0.80286549
19,-5361.5289,-5444.256,82.727023,0.80388694,1.2275363
20,5089.1629,5015.6085,73.554321,0.68317929,-0.75912069
21,2371.3594,2458.3388,-86.979416,-0.67428273,-0.36642555
22,-4612.4791,-4524.3262,-88.152915,-1.2489264,1.4671152
23,-2886.9771,-3028.9586,141.98147,1.9967504,2.3367034
24,-1874.6918,-1909.5609,34.869063,0.51842492,0.72833203
25,-2707.1225,-2557.1092,-150.01332,-2.0424037,0.24202828
26,-1862.1157,-2114.6499,252.53419,2.5525833,0.39576891
27,4529.4428,4561.9072,-32.464352,-0.43575364,-1.4565611
28,1396.4576,1446.3839,-49.926335,-0.55164579,0.075030603
29,-2043.1763,-2105.8168,62.640501,0.93456548,-2.3473487
30,-66.84253,24.090339,-90.932869,-1.2240292,-1.0047985
31,3442.5626,3316.1154,126.44715,1.7644914,0.39161853
32,3934.9233,3993.857,-58.93368,-0.82437816,1.6174121
33,-334.72948,-221.47051,-113.25896,-1.3386149,-0.0070253096
34,-3120.2369,-3160.01,39.77316,0.5831239,-0.54489707
35,-3189.1467,-3204.0151,14.868354,0.21485008,-0.79595516
36,-1760.3015,-1716.0351,-44.266349,-0.66700719,0.94506114
37,-1602.498,-1650.8306,48.332634,0.72198102,0.67525901
38,1182.8371,1089.0439,93.793232,1.3289454,-1.0685887
39,-373.49125,-263.3877,-110.10355,-1.3179298,-0.65028658
40,-3161.4105,-3197.1092,35.698661,0.52218014,-0.39069985
41,-274.60565,-318.63488,44.029228,0.6117817,-0.95081094
42,-270.98789,-248.6123,-22.375591,-0.32970448,-0.61281976
43,-667.90848,-736.36136,68.452876,1.0253522,0.89455704
44,-106.12113,-84.958595,-21.162536,-0.32183698,-0.23107483
45,446.70794,443.42284,3.2851051,0.049729008,0.72121502
46,269.78197,242.99122,26.790748,0.39912132,0.36694191
47,182.78331,232.39147,-49.608157,-0.71255387,1.1668276
48,2519.5155,2400.6826,118.83292,1.6930643,1.982614
49,2185.3028,2277.5006,-92.197801,-1.3226628,0.7096062
50,512.17227,533.0389,-20.866621,-0.3044833,0.02884695
51,-1311.354,-1335.0866,23.732604,0.34010896,-0.50306205
52,-2467.4886,-2431.0364,-36.452173,-0.5368327,0.70128211
53,-1923.2732,-2025.0339,101.76066,1.4725378,1.1148047
54,-1252.9529,-1268.5972,15.644346,0.22768131,-0.72582544
55,-315.09017,-278.00251,-37.087666,-0.56403097,-2.0034625
56,-649.4751,-757.23965,107.76455,1.6166994,-0.098108813
57,-982.82638,-962.64994,-20.176442,-0.30449359,1.7095688
58,-157.8035,-163.4931,5.6895998,0.083656674,0.86741654
59,414.14805,361.99749,52.150558,0.77682693,0.32662613
60,717.52355,755.31242,-37.788868,-0.54857718,-0.59133284
61,-809.69044,-722.71016,-86.980281,-1.261727,-0.82001235
62,1000.7429,908.20577,92.537162,1.3496435,-1.0526908
63,-689.61507,-709.54078,19.925704,0.30105348,-1.1452413
64,175.03096,296.63237,-121.60142,-1.8249503,-0.40089797
65,274.08883,101.34003,172.7488,2.4739472,-0.22353684
66,2451.2948,2548.9184,-97.623693,-1.4243462,-1.752475
67,2870.2665,2800.4216,69.844906,1.0549267,-0.93455002
68,933.72813,892.62735,41.100777,0.58256995,-0.48878248
69,-1108.2423,-1006.1731,-102.06911,-1.5131882,-0.29990341
70,-1751.1709,-1820.9084,69.737478,1.0650269,-0.97488639
71,-1035.1978,-1063.6688,28.470911,0.43327875,-0.47799817
72,-246.00808,-238.49435,-7.5137215,-0.11222762,0.84440282
73,-440.33378,-536.89335,96.559568,1.4227238,1.6273493
74,-387.96231,-376.13049,-11.831826,-0.17447905,0.064768382
75,211.20861,252.46675,-41.258137,-0.62167169,-0.51862804
76,694.95559,647.54831,47.407279,0.70823508,-0.1154942
77,832.25841,836.57716,-4.3187525,-0.06466309,0.23466242
78,940.79139,937.27478,3.5166058,0.05153862,-0.45133826
79,371.76851,397.32999,-25.561481,-0.37757828,-1.0638743
80,80.107672,63.437892,16.66978,0.24409458,-1.0833858
81,-810.55182,-801.40527,-9.1465472,-0.13530182,0.5396521
82,104.57066,-10.920954,115.49161,1.688213,0.85193055
83,913.57201,953.1744,-39.602399,-0.58897948,-0.34904839
84,452.22073,414.03262,38.188104,0.56605328,0.29155881
85,103.70929,89.776662,13.932624,0.20720906,1.2704848
86,-348.85599,-258.89084,-89.965149,-1.342499,-0.4684534
87,-966.4603,-1063.5082,97.047859,1.4796989,-0.54879858
88,-1558.2234,-1517.0489,-41.174485,-0.62630584,-0.97033753
89,-1692.253,-1683.5935,-8.6595527,-0.13287898,0.53433688
90,-1346.1534,-1396.1154,49.962001,0.75276872,-0.089622635
91,-1318.0727,-1256.2309,-61.841813,-0.93661447,-0.98824327
92,-593.14132,-700.86826,107.72694,1.5999006,-0.038693498
93,165.38358,187.42284,-22.039256,-0.33063167,0.030802234
94,521.99192,552.47177,-30.479845,-0.45498568,-0.10105229
95,742.67564,684.80803,57.867609,0.89276691,-1.1051146
96,431.3755,481.00376,-49.628259,-0.75962263,-0.19768503
97,46.686406,19.272271,27.414135,0.41505956,0.97775792
98,-323.87618,-384.1606,60.284425,0.88946514,1.2315625
99,-380.72678,-369.38519,-11.341589,-0.16582498,-0.39571177
100,-405.0175,-416.60226,11.584762,0.17311823,-0.81351022
101,-277.70659,-329.87704,52.170444,0.77545302,-0.024516024
102,-267.5424,-226.12798,-41.414416,-0.62848329,0.077378574
103,-125.76043,-128.64241,2.8819783,0.043144854,0.10863278
104,-373.8358,-413.22961,39.39381,0.59168667,-1.9454781
105,-686.34186,-560.98369,-125.35817,-1.9068932,-1.1617605
106,-696.50606,-757.72146,61.215399,0.92910999,-0.24127179
107,-973.69583,-1012.4366,38.74081,0.5829985,0.23048834
108,-1148.3822,-1050.9812,-97.401055,-1.4808716,0.21248948
109,-781.78197,-880.90339,99.121423,1.4560146,0.5269603
110,-82.864065,-93.952321,11.088257,0.16220378,-0.36741235
111,586.59489,675.01129,-88.416407,-1.307757,-0.3198361
112,747.6716,613.34003,134.33158,2.0443908,-0.86633415
113,785.57201,781.81179,3.7602112,0.057134804,-1.8957839
114,604.33917,696.53199,-92.192829,-1.4013216,-0.72416114
115,307.68237,217.77666,89.905706,1.3592079,0.60922396
116,-70.97712,-42.077792,-28.899328,-0.43905475,-0.78871347
117,-289.42127,-326.18319,36.761922,0.55933225,-1.8137234
118,-277.18977,-332.60728,55.417506,0.84828667,-0.35066683
119,-651.5424,-593.74655,-57.795846,-0.88087293,0.46333247
120,-341.27591,-357.82183,16.545923,0.24895499,0.24937942
121,-246.35262,-254.87578,8.5231597,0.12738432,1.4605571
122,-544.90444,-512.64241,-32.262032,-0.47173669,1.2919521
123,-173.99731,-260.49686,86.499555,1.1935203,3.0595712
124,-136.61373,-85.601004,-51.012724,-0.70220124,0.73868341
125,-53.921938,-54.122961,0.20102302,0.0027752174,0.29812709
126,671.52624,628.59724,42.929005,0.6372149,-0.69432388
127,1840.2369,1828.2961,11.940767,0.17798999,-0.45119877
128,-270.47106,-294.54454,24.073479,0.34387076,-0.6567606
129,1337.712,1334.4442,3.2678128,0.043646101,-1.0977382
130,1632.9906,1641.9975,-9.0069119,-0.13630846,-1.383224
131,2743.1279,2682.5395,60.588337,0.90954664,0.83448042
132,1687.0848,1708.005,-20.920227,-0.30978651,2.0182644
133,1886.9233,1925.2999,-38.376591,-0.57395086,-0.8651589
134,1143.0417,1112.4918,30.549878,0.46074917,-1.1315968
135,855.51548,874.15809,-18.642615,-0.28112794,-0.7502097
136,935.45087,993.96738,-58.516503,-0.88795231,-0.26505833
137,1078.9556,958.47428,120.48131,1.8260223,-0.673976
138,1077.0606,1154.0878,-77.027264,-1.1653241,-1.0425785
139,1189.3836,1199.8595,-10.475893,-0.15482283,-1.0416702
140,1169.572,1129.6763,39.895719,0.59864243,-0.45487913
141,1035.5424,1112.01,-76.467642,-1.1331403,0.038913955
142,870.84791,787.59348,83.254438,1.2511604,0.22376827
143,782.64334,767.03639,15.606951,0.23537167,-0.52061064
144,461.00673,543.95985,-82.95312,-1.2533417,0.15275757
145,593.83042,491.44291,102.38751,1.5371161,-0.74024111
146,628.62988,603.38269,25.247194,0.37347391,-0.91041211
147,239.11709,281.21455,-42.097462,-0.62240635,0.76740398
148,398.47106,299.68381,98.787249,1.4612643,2.2455023
149,463.76312,513.12422,-49.361093,-0.72901267,-0.14179877
150,268.74832,309.64115,-40.892837,-0.60768592,-0.24426455
151,289.24899,217.77666,71.472328,1.0639537,-1.6799673
152,-575.74159,-511.19699,-64.544599,-0.95145828,-0.70429589
153,-755.42396,-750.01255,-5.4114099,-0.081528193,-0.64518108
154,-1227.8008,-1271.1669,43.366068,0.64559938,-1.2830685
155,-1117.5451,-1063.6688,-53.87633,-0.82271009,-1.6037472
156,-879.11709,-926.35383,47.236734,0.72458303,-1.4301922
157,-640.6891,-673.56587,32.876774,0.50003154,1.3689965
158,-605.20054,-580.57716,-24.623374,-0.3648749,1.0971135
159,-405.53432,-430.41405,24.879732,0.37808156,0.24923233
160,-426.72409,-455.78921,29.065118,0.43857452,-0.50180431
161,-313.02288,-234.9611,-78.061776,-1.1737605,-0.21389684
162,-224.30148,-304.18068,79.879197,1.226564,0.33900252
163,-218.96097,-260.81807,41.857099,0.64540384,-0.5271739
164,-232.39838,-139.24216,-93.156227,-1.4079594,-0.0028185176
165,-18.950202,-77.410289,58.460087,0.87387645,-0.19012568
166,63.397039,113.06399,-49.666951,-0.74687556,-0.59419704
167,179.16555,167.82936,11.336185,0.1724931,-0.87319847
168,308.54374,301.61104,6.9327002,0.10736184,0.014289621
169,137.81965,184.8532,-47.033549,-0.71617521,-0.31720342
170,-112.83984,-138.76035,25.920513,0.39032665,0.19305707
171,-217.92732,-213.2798,-4.6475224,-0.070311015,0.049362527
172,-310.26649,-333.41029,23.143801,0.34475777,-0.23486195
173,-206.04038,-288.60226,82.561882,1.2242985,1.2575034
174,-93.028264,-69.058971,-23.969293,-0.35512647,0.86045791
175,156.4253,151.92974,4.4955663,0.066421127,-0.64640843
176,503.38627,441.0138,62.37247,0.9201575,-0.80299778
177,613.98654,634.37892,-20.39238,-0.30376566,-0.56610912
178,752.15074,709.38018,42.770565,0.64963932,-0.21699397
179,609.33513,647.2271,-37.891974,-0.57251644,-2.1372479
180,554.20727,615.26725,-61.059984,-0.93053277,-0.67767325
181,393.99192,319.27729,74.714635,1.1124681,0.74285191
182,224.8183,234.8005,-9.9821977,-0.14590676,1.3035884
183,70.115747,158.03262,-87.916875,-1.3279937,-0.043158191
184,102.33109,19.111669,83.219421,1.2409257,0.97511904
185,865.5074,909.65119,-44.14379,-0.64301426,2.3593229
186,-285.97577,-252.14555,-33.830228,-0.49637063,2.2905479
187,1276.5545,1169.0238,107.53067,1.5966162,1.5484671
188,157.63122,179.71393,-22.082702,-0.33625065,0.6276666
189,354.1965,418.69009,-64.493587,-0.93124202,1.5841189
190,-1188.0054,-1297.0238,109.01846,1.5667505,0.87254958
191,781.95424,812.64743,-30.693188,-0.4418212,-0.97473005
192,2290.9071,2230.6048,60.302365,0.9097373,-1.3532642
193,1439.6985,1446.8657,-7.167227,-0.10751875,-0.76022736
194,70.97712,140.20577,-69.228652,-1.0635497,0.10515896
195,381.58816,349.79172,31.796437,0.47570045,-0.35600432
196,1153.2059,1121.325,31.880953,0.48036786,-0.09512237
197,1420.576,1460.8381,-40.2621,-0.60227444,2.3187291
198,1314.2826,1297.6662,16.61639,0.24653047,2.5180472
199,1021.5882,966.18319,55.404969,0.82395998,-0.69315117
200,507.69314,607.71895,-100.02581,-1.4888251,0.69698604
201,167.79542,42.720201,125.07522,1.8748852,0.42501121
202,402.77793,423.34755,-20.569626,-0.30468507,-0.45188655
203,733.02826,732.02509,1.0031697,0.014957705,-0.84162865
204,306.99327,297.11418,9.8790924,0.14699433,-1.6821516
205,504.07537,541.39021,-37.314843,-0.56619105,-1.726968
206,-37.728129,-94.112923,56.384794,0.84452765,0.64269058
207,91.994616,55.407779,36.586837,0.54153371,0.82601363
208,142.81561,213.2798,-70.464187,-1.0423108,-0.81088977
209,-170.55182,-202.03764,31.485824,0.46399484,-0.41411376
210,39.967699,50.910916,-10.943217,-0.16160598,0.12901782
211,259.10094,319.27729,-60.176348,-0.89394629,1.2270978
212,290.97174,224.36136,66.610381,1.0046169,0.47540998
213,145.05518,188.38645,-43.331267,-0.66739045,-0.41928716
214,59.090175,84.155583,-25.065408,-0.38180932,-0.15274915
215,178.47645,149.3601,29.116346,0.44156266,0.56079161
216,99.057873,112.74279,-13.684912,-0.20430138,-1.0038423
217,51.510094,-6.1028858,57.61298,0.86951889,-0.60302521
218,-207.2463,-215.68883,8.4425343,0.12883527,0.19754813
219,-454.80485,-423.98996,-30.814883,-0.46040828,1.1839903
220,-445.67429,-507.98494,62.31065,0.93107619,0.51649014
221,-310.95559,-312.05019,1.0946027,0.016383291,-0.54404954
222,-111.97847,-101.66123,-10.317236,-0.15446006,1.379208
223,-17.399731,-92.828105,75.428375,1.1222221,3.5851249
224,-123.34859,-63.116688,-60.231899,-0.89515873,1.7488271
225,-196.90983,-169.27478,-27.635045,-0.41508376,0.1228534
226,1.3781965,-76.446675,77.824872,1.1706899,-0.62102854
227,-71.149394,-27.462986,-43.686408,-0.65998316,0.4216311
228,-8.0969044,-3.6938519,-4.4030525,-0.066572618,-0.11638694
229,53.405114,-1.6060226,55.011137,0.83814852,-1.9072655
230,87.515478,166.06274,-78.547257,-1.2029252,-1.5049303
231,347.30552,250.21832,97.087199,1.4865753,-0.64468334
232,320.77524,289.88708,30.888159,0.46517054,0.79905497
233,316.9852,411.62359,-94.638393,-1.4306795,0.00070981043
234,397.78197,289.88708,107.89489,1.6276245,-0.85664117
235,133.68506,140.84818,-7.1631201,-0.1091224,-0.49294758
236,114.90713,196.41656,-81.509429,-1.2181802,0.040540199
237,35.316285,-69.058971,104.37526,1.5986959,-0.12290246
238,-25.496635,0.96361355,-26.460249,-0.41280378,-1.429882
239,18.261104,108.88833,-90.627228,-1.4147929,-0.45892269
240,147.29475,80.943538,66.351213,1.0104992,-0.15161538
241,176.7537,217.13425,-40.380552,-0.60204215,-0.9968186
242,244.11306,227.5734,16.539655,0.24603376,-1.118405
243,357.29744,363.92472,-6.6272749,-0.10057048,1.0944969
244,81.485868,117.72146,-36.235587,-0.54718584,1.9179656
245,354.8856,321.04391,33.841684,0.50123791,0.48519356
246,423.9677,374.04266,49.925039,0.73893967,-0.86252439
247,3.1009421,-2.0878294,5.1887715,0.075080763,-0.048547963
248,329.90579,293.09912,36.806666,0.5143267,1.5811146
249,595.38089,579.45295,15.92794,0.22847189,1.1337854
250,1040.1938,1022.0728,18.121036,0.24926073,-0.71307571
251,2108.6406,2093.611,15.029605,0.22725989,-0.72183639
252,3460.996,3510.123,-49.126999,-0.72801687,-0.64382788
253,1705.8627,1863.6286,-157.76589,-2.2723427,0.77279907
254,3575.9031,3686.4642,-110.56115,-1.4616821,0.01268228
255,4015.8923,4233.6361,-217.74381,-3.2385202,0.082405125
256,5197.8681,5382.7453,-184.87719,-2.6611072,0.79119114
257,4332.1884,4519.99,-187.80154,-2.6728554,1.1144576
258,4662.0942,4888.7327,-226.63854,-3.2651461,0.28568856
259,4177.8304,4322.4492,-144.61877,-2.0943258,0.51221911
260,4501.5343,4724.5972,-223.06292,-3.2675198,0.91129254
261,5131.1978,5375.0364,-243.83854,-3.5149896,0.11585288
262,5473.5074,5545.4354,-71.92798,-1.0634199,-0.54157135
263,5337.2382,5611.9247,-274.68649,-3.9496673,0.1639901
264,5224.3984,5455.3375,-230.93913,-3.381546,-0.90422467
265,4854.0081,4965.34,-111.33195,-1.5870255,0.16335783
266,4368.3661,4664.6926,-296.32651,-4.2066347,0.36210655
267,4073.0875,4168.9134,-95.825942,-1.3891783,-1.9189204
268,3725.4374,3938.128,-212.69056,-3.1190435,-1.2300038
269,3001.8843,3215.4178,-213.53356,-3.1638777,0.87274713
270,2691.6178,2763.6437,-72.025898,-1.064476,0.60936524
271,2240.7752,2385.9072,-145.13192,-2.1480224,-1.3055469
272,1417.9919,1543.7089,-125.71698,-1.8743227,-2.2198246
273,966.63257,973.24969,-6.6171157,-0.098275967,0.042537801
274,687.54778,738.28858,-50.740803,-0.74732254,0.59424125
275,390.54643,485.01882,-94.472387,-1.3983943,-0.78480472
276,437.92194,331.00125,106.92068,1.6053255,-0.78366176
277,-190.36339,-155.14178,-35.22161,-0.52174826,-0.00023537424
278,-23.429341,-7.8695107,-15.55983,-0.23016045,-0.87805684
279,-307.16555,-371.47302,64.307479,0.96080443,-1.5731436
280,-258.92867,-219.86449,-39.064176,-0.59340082,-1.4267813
281,-324.90983,-364.08532,39.175495,0.59085653,0.81590197
282,-384.51682,-489.99749,105.48067,1.6040158,1.8174955
283,-722.17497,-616.55207,-105.6229,-1.5930512,0.52030049
284,-758.69717,-817.30489,58.60772,0.86710047,0.9831033
285,-838.4603,-883.79423,45.333932,0.66294215,1.142142
286,-628.28533,-549.58093,-78.704401,-1.1660148,1.2475209
287,-475.30552,-586.19824,110.89273,1.6881197,1.7445779
288,-403.6393,-401.98745,-1.6518472,-0.025670986,-0.36415378
289,-260.99596,-224.52196,-36.474005,-0.55377403,0.070002828
290,-36.177658,-139.24216,103.0645,1.5499246,0.30266862
291,124.55451,129.44542,-4.8909116,-0.073372892,-0.54485788
292,342.13728,287.31744,54.819841,0.82723154,-0.68892689
293,629.66353,658.30866,-28.645131,-0.44182578,-0.36659129
294,930.97174,939.20201,-8.2302713,-0.12499491,-0.57764704
295,1100.1454,1099.9649,0.18048841,0.0027244649,-0.43355266
296,1440.9044,1510.3036,-69.399197,-1.0519774,0.25171013
297,1627.6501,1673.6361,-45.986068,-0.70891339,0.70141795
298,1729.1198,1792,-62.880215,-0.96410985,0.93023182
299,1859.5316,1939.9147,-80.383052,-1.2176327,-0.27497978
300,1835.93,1934.7754,-98.845394,-1.474019,-0.92498478
301,1922.9287,1937.8269,-14.898183,-0.22274758,-1.1765623
302,1806.6433,1936.8632,-130.2199,-1.9291054,1.5778311
303,1915.6931,1980.8683,-65.17512,-0.98114325,0.051550539
304,1866.4226,1945.857,-79.434353,-1.1855796,-0.39576426
305,1890.541,2006.0828,-115.54176,-1.7201654,-1.6667228
306,1988.0485,2005.2798,-17.231347,-0.25649688,0.11415779
307,1919.8277,1987.1317,-67.304019,-0.98646299,1.084179
308,1695.0094,1911.3275,-216.31806,-3.2150695,0.18275957
309,1704.4845,1639.4279,65.056668,0.96446994,-0.62792966
310,2364.4684,2489.4956,-125.02724,-1.8464831,-0.28868972
311,1244.5114,1413.4605,-168.94904,-2.4262645,-0.97591336
312,2945.0336,2921.5157,23.517964,0.34854398,-0.2596417
313,1963.5855,2118.8256,-155.24013,-2.3435043,0.54955498
314,2313.9919,2442.2785,-128.28662,-1.9076997,1.3637637
315,780.40377,795.94479,-15.541024,-0.23255097,0.19224028
316,2779.8223,2901.9222,-122.09987,-1.7687688,-1.5021809
317,4179.3809,4221.4304,-42.049476,-0.62085918,-0.66277843
318,3167.2678,3224.7327,-57.464915,-0.83733831,-0.38043571
319,1495.5155,1641.5157,-146.00021,-2.1983848,1.0892311
320,1665.895,1647.7792,18.115848,0.27141337,-0.90987093
321,2383.9354,2433.7666,-49.831228,-0.75070347,0.20128588
322,2604.4468,2736.1807,-131.73384,-1.9519106,2.2862356
323,2738.4764,2777.2949,-38.818409,-0.58838704,2.7285924
324,2597.5559,2654.7553,-57.199478,-0.85105095,1.0130802
325,2233.1952,2392.3312,-159.13609,-2.3704185,-1.2487817
326,1986.8425,1978.2986,8.5439105,0.12847122,-1.279814
327,2177.0336,2273.0038,-95.970117,-1.4480239,-0.42254258
328,2484.0269,2620.0652,-136.03833,-2.0406608,0.57681602
329,2029.0498,2049.1242,-20.074418,-0.30018851,-0.91456574
330,2160.6676,2285.3701,-124.70257,-1.8899192,-2.2358344
331,1626.4441,1675.724,-49.27982,-0.75023581,-1.4507005
332,1714.3042,1767.5885,-53.284284,-0.7902595,1.1632941
333,1836.4468,1990.9862,-154.53936,-2.2899734,-0.66064769
334,1422.1265,1445.9021,-23.775619,-0.34870651,-0.52655343
335,1566.8371,1607.1468,-40.309654,-0.59959886,0.14247848
336,1519.9785,1644.7277,-124.74926,-1.8577135,0.16963798
337,1329.6151,1301.6813,27.933769,0.42677617,-0.84787965
338,998.67564,1121.4856,-122.80993,-1.8812666,-0.46896212
339,762.65949,796.1054,-33.445907,-0.51460805,0.33335648
340,960.94751,976.46173,-15.514221,-0.23956355,0.19696061
341,906.33647,1004.8883,-98.551857,-1.5146563,-1.0338673
342,1016.2476,983.84944,32.398209,0.49186162,-0.62223159
343,842.42261,957.51066,-115.08805,-1.7677695,0.72714803
344,735.95693,769.60602,-33.649091,-0.51934317,1.0881638
345,698.9179,691.71393,7.2039732,0.10983435,0.77222555
346,742.84791,776.83312,-33.98521,-0.50906549,0.17012154
347,803.48856,864.20075,-60.712193,-0.90848885,1.1609405
348,849.31359,818.91092,30.402678,0.45666664,1.7291873
349,708.73755,768.48181,-59.744256,-0.88216674,0.78365186
350,696.50606,738.12798,-41.621923,-0.62069223,-0.68342995
351,906.8533,871.90966,34.943636,0.52288963,-0.40326629
352,871.02019,961.04391,-90.023726,-1.3543696,-0.28080219
353,964.90983,1015.6487,-50.738858,-0.77022749,-1.2438486
354,992.12921,942.25345,49.875755,0.75595429,-1.6481848
355,1012.8022,1122.7704,-109.96824,-1.6760498,-1.1492209
356,1137.0121,1086.1531,50.859039,0.76541907,0.49601727
357,1086.5357,1110.8858,-24.350156,-0.37125769,1.2810226
358,1094.6326,1253.1794,-158.54685,-2.424715,-0.089658168
359,1298.6057,1246.5947,52.010923,0.78156627,-0.54963995
360,1211.0902,1284.8181,-73.727893,-1.0956685,-1.128725
361,1362.6918,1505.9674,-143.27559,-2.1494917,0.69303155
362,1429.362,1384.2309,45.13118,0.68670127,0.29380167
363,1434.7026,1490.7102,-56.007606,-0.85922961,-1.024496
364,1363.7254,1492.1556,-128.43015,-1.9426062,-1.079331
365,1493.6205,1436.7478,56.872653,0.86873928,-0.56943256
366,1362.0027,1450.8808,-88.878111,-1.333721,-1.3390077
367,1401.4536,1445.2597,-43.806157,-0.67328648,-0.53896848
368,1447.4509,1479.7892,-32.338335,-0.50703991,-0.22535267
369,1116.6837,1187.1719,-70.48818,-1.0878828,-1.3450981
370,1493.2759,1521.2246,-27.948684,-0.42610261,-1.9307551
371,1493.6205,1503.8795,-10.259091,-0.15640374,-0.33681494
372,1086.5357,1182.3538,-95.818161,-1.4112993,0.82817342
373,1360.6245,1358.8557,1.7687864,0.0250612,1.4070639
374,1583.2032,1646.9762,-63.77293,-0.91516523,0.29052069
375,2190.4711,2227.2321,-36.761057,-0.48537621,-0.9550887
376,4104.2692,4112.3814,-8.1122514,-0.11974764,-1.6598707
377,6785.0336,6910.0728,-125.03913,-1.7450048,-0.28374558
378,5245.0713,5463.3676,-218.2963,-3.0046696,0.25892422
379,6200.8506,6452.3563,-251.50573,-3.4134191,-0.67329284
380,6266.4872,6665.6361,-399.14892,-5.7465622,-2.0434725
381,7566.1265,7856.0201,-289.89356,-4.0870832,-1.2323068
382,6540.4038,6867.6738,-327.27001,-4.7444218,1.1633048
383,6736.969,7065.6964,-328.72732,-4.8143147,0.050141897
384,6529.895,6790.1029,-260.20787,-3.7314578,-0.48923494
385,7119.9354,7437.4906,-317.55519,-4.5648695,-1.2053365
386,7544.4199,7930.8607,-386.44081,-5.4870723,-1.482888
387,7717.7281,8050.8306,-333.10249,-4.7784782,-1.7347791
388,7493.4266,7937.1242,-443.69757,-6.3283699,-1.4206029
389,7303.7524,7738.7804,-435.02807,-6.3282433,-0.68262943
390,6756.7806,7065.857,-309.07634,-4.3404473,-1.6347771
391,6082.498,6524.9486,-442.45058,-6.3046369,-2.1504923
392,5751.5585,6006.8457,-255.28712,-3.7127098,-1.0667742
393,5228.533,5530.0176,-301.48459,-4.4625326,-0.013407708
394,4301.5236,4628.8783,-327.35474,-4.8549315,0.39540675
395,3940.0915,4095.197,-155.10547,-2.3277775,-0.84810473
396,3508.8883,3709.9122,-201.02388,-2.9699586,-1.7262885
397,2597.9004,2834.4693,-236.56886,-3.4782305,1.0910661
398,2019.0579,2082.6901,-63.632214,-0.94887584,1.5350085
399,1585.2705,1735.9498,-150.67929,-2.2063189,0.56377707
400,1230.7295,1333.6412,-102.91168,-1.5123745,-0.86916633
401,1216.603,1199.5383,17.064692,0.25448669,-0.21971868
402,628.97443,739.4128,-110.43837,-1.6681246,-0.045963989
403,637.76043,685.93225,-48.171815,-0.73094299,-0.08636449
404,236.18843,245.88206,-9.6936324,-0.14423114,-0.40147214
405,306.99327,352.84316,-45.849891,-0.68977418,-0.50851789
406,191.74159,220.3463,-28.60471,-0.43058848,-0.35872071
407,189.32974,118.84567,70.484073,1.0470328,1.8194537
408,-98.368775,19.593476,-117.96225,-1.7640125,1.4499937
409,12.059219,-95.879548,107.93877,1.6103143,0.43235973
410,5.8573351,-36.29611,42.153446,0.62700082,0.35039999
411,248.76447,303.53827,-54.7738,-0.81216301,-0.36953567
412,412.08075,353.48557,58.595183,0.89066404,-0.35771558
413,562.30417,550.22334,12.080835,0.18539888,-1.9609708
414,763.52086,834.16813,-70.647269,-1.0836317,-1.1403664
415,1096.183,1058.8507,37.332352,0.56719995,-1.3405399
416,1304.463,1370.4191,-65.956084,-1.0099541,-1.8769709
417,1631.4401,1658.7001,-27.260018,-0.4111301,-1.6966463
418,1947.5639,2032.5822,-85.018253,-1.2846856,0.11093736
419,2219.0686,2319.739,-100.67038,-1.4927968,0.38616089
420,2457.8412,2484.9987,-27.157561,-0.40994571,-1.0020898
421,2718.6649,2871.2472,-152.5823,-2.3083099,-0.22763892
422,2942.4495,3051.4429,-108.99338,-1.6462536,2.0422155
423,3018.2503,3145.2346,-126.98429,-1.8975163,2.0851358
424,3201.895,3328.3212,-126.42618,-1.8496403,0.95941604
425,3267.1871,3438.8156,-171.62848,-2.523896,-0.32027969
426,3389.3297,3487.478,-98.148298,-1.4608119,-1.3723574
427,3343.1602,3563.9247,-220.76456,-3.3498537,0.029741639
428,3459.9623,3585.606,-125.64371,-1.8861649,0.21907707
429,3433.7766,3546.7403,-112.96369,-1.6842031,-0.40388276
430,3361.7658,3624.3112,-262.54535,-4.0090355,-1.0539483
431,3402.5949,3469.33,-66.735102,-1.0029035,-1.1748579
432,3269.5989,3486.675,-217.07611,-3.2063112,-0.69951443
